OTU,Kingdom,Phylum,Class,Order,Family,Genus,Label
BOTU_2056,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus_Solibacter,BOTU_2056_Candidatus_Solibacter
BOTU_2055,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,unidentified,BOTU_2055_Myxococcaceae
BOTU_2060,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,unidentified,BOTU_2060_Gemmataceae
BOTU_2058,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,unidentified,BOTU_2058_Spirosomaceae
BOTU_2052,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,BOTU_2052_MND1
BOTU_2057,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,BOTU_2057_Gemmatimonas
BOTU_2062,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,unidentified,BOTU_2062_Gemmataceae
BOTU_2064,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,unidentified,BOTU_2064_Gemmataceae
BOTU_2065,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,BOTU_2065_Wolbachia
BOTU_2059,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,BOTU_2059_Bryobacter
BOTU_2069,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group,BOTU_2069_WD2101_soil_group
BOTU_2067,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,unidentified,BOTU_2067_Ktedonobacteraceae
BOTU_2066,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,Chthonomonas,BOTU_2066_Chthonomonas
BOTU_2061,Bacteria,Armatimonadota,unidentified,unidentified,unidentified,unidentified,BOTU_2061_Armatimonadota
BOTU_2063,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,AKYH767,BOTU_2063_AKYH767
BOTU_2070,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,BOTU_2070_Bdellovibrio
